location_info,location_href,upload_id,date_text,date_time,date_title,main_text
"Shibuya, Tokyo",https://www.instagram.com/explore/locations/212984894/shibuya-tokyo/,tiny_lp,2020년 8월 8일,2020-08-08T06:42:15.000Z,2020년 8월 8일,"🍚  Tiny LP's Kitchen 🍴
今日の#メニュー 🍅🥑
まるごと#トマト と#アボカド の#どんぶり
Today’s #menu
Boiled #tomato & #avocado #donburi(#ricebowl)
.
.
.
#tiny_lp#tinylp#tinylpkitchen#homemade#japanesefood #アボカド丼#vegan"
,,yuri._.bead_,2020년 8월 5일,2020-08-05T05:51:32.000Z,2020년 8월 5일,"오랜만에 피드 업로드😆
@_21_bokki_
.
.
.
.
.
.
.
.
.
#페이센동#돈부리#덮밥#부산#해운대#서면#맛집#전신스타그램#얼스타그램 #00#99#일상#daily#선팔#좋아요"
Tendon Kohaku,https://www.instagram.com/explore/locations/108769971256449/tendon-kohaku/,ssu_foodlog,1일 전,2021-08-22T03:46:13.000Z,2021년 8월 22일,"..

Ambience ⭐️⭐️⭐️💫
Presentation ⭐️⭐️⭐️⭐️
Taste ⭐️⭐️⭐️💫
Pricing 💸💸

..

📍 Tendon Kohaku @kohakutendonvancouver

Woot! This popular Singapore based Japanese chain specializing in tempura dons is another great addition to the diverse food choices we have in Vancouver! 🍚🥢

Tbh, you can’t compare them to the authentic tendons in Japan, but these were definitely one of the better ones I’ve had! The amount of sauce (you could choose between original and spicy) mixed into the rice and the lightly battered tempura was well-balanced. I ordered the sashimi aimori tendon so i wouldnt leave feeling too greasy and i thought the sashimi and wasabi complemented well with the tendon.

I’ve only visited the downtown location before the Brentwood one newly opened and thought the interior was simple, clean and spacious. Thankfully even though we were there during a busy lunch hour, we didn’t need to wait in line. The servers were friendly, prompt and the food came out pretty quickly! We definitely need to go back to try the desserts next time 😋

🍣 Sashimi Aimori Tendon
-Rice, Kohaku Tendon Sauce, Prawns, Chicken, Pumpkin, French beans, Tuna, Salmon, Scallop, Ikura

🍤 Anago Tendon
-Rice, Kohaku Tendon Sauce, Eel, Prawns, Chicken, Beans, Shiitake Mushroom, Lotus Root, Soft Fried Egg

..

솔직히 일본애서 먹는 정통 텐돈이랑은 비교불가 하지만. 밴쿠버에서 먹어본 텐돈중에는 제일 맛있었음! 브렌트우드점이 오픈하기 전에 다운타운점에 가서 먹었는데 바쁜 점심시간에도 레스토랑이 꽉 차긴 했지만 회전률이 빨라서 줄은 서지 않고 음식도 빨리 나와서 좋았음. 느끼한거 싫어하시는 분은 매운 소스에 (막 맵지는 않아요) 사시미를 곁들인 텐돈 드시는걸 추천해요! 와사비가 참 맛있었음 ㅋㅋ 다음엔 디저트도 꼭 먹어야지!"
이이요,https://www.instagram.com/explore/locations/1176254385859993/,oweekk,2020년 9월 5일,2020-09-05T07:32:18.000Z,2020년 9월 5일,"#주간덮밥 #주간광진구
⠀
간장소스에 절인 연어+광어+가리비를 초대리한 밥에 둘러 올리고 토치로 살짝 구운 '야끼돈부리'. 사케동 보다 다채롭고 #카이센동 보단 캐주얼한 게 매력이다. 초창기 때보다 1000원 오르긴 했어도, 미니우동 서비스로 내주니 여전히 든든한 식사하기 좋은 곳. 12시 오픈 시간부터 북적이니까 일찍 가거나 늦게 가는 편이 거리두기에 좋겠다.
⠀
야끼돈부리 _12.9
⠀
#군자 #이이요 #야끼돈부리"
Cheongju,https://www.instagram.com/explore/locations/249426447/cheongju/,kisssmydish,2020년 6월 9일,2020-06-09T06:59:31.000Z,2020년 6월 9일,미완작_킨토토라이스_SOON_!_
치마오,https://www.instagram.com/explore/locations/168630213624175/,oh_ga_fire,2020년 11월 11일,2020-11-11T10:02:12.000Z,2020년 11월 11일,"⠀
장미상가 치마오
⠀
장미상가 B동 북쪽 계단 아래서 만나는 첫관문!
디긋자 형태의 닷지 좌석들, 두평도 안되는 주방!
그안에서 나오는 뿜어져 나오는 무시무시한 음식!
배불러서 아우성치며 웃음을 짖는 손님들의 표정!
⠀
유명한 이자카야 마냥 엄청난 숫자의 요리가 펼쳐진다
작디작은 주방에서 메뉴를 뽑아내는게 연금술 수준이다
친구를 5명 댈고가도 그쉐리들 입맛을 다 맞출수 있다!
태어나서 처음으로 쒜끼들 고맙단 소리도 들을수잇다
⠀
첫방문이니 이집에서 제일 임팩트 있는것을 먹어보자
이름하여 ""본격가라아게동"" 뭔가 쫌 쎄보이는 느낌이다
본격! 특! 대! 도쿠센! 등의 이름이 붙으면 긴장부터 하자
⠀
바삭한 가라아게를 야마모리해서 엄청 높다랗게 쌓앗다
일본식으로 튀긴 커다란 닭을 하나씩 해치우며 들어간다
몇조각 먹엇지만 아직도 하얀밥을 만나긴 멀엇네 멀엇어
슬슬 밥을 만나나 싶었는데 이젠 양배추가 디펜스를 건다
⠀
혼자 먹다 포장해서 이틀은 더 먹을수있는 엄청난 양의 치킨가라아게와 밥이 끝도 없이 올라오니 기절할 지경ㅋ
이거슨 돈부리의 지로 버전이라는 말인가!?! 무서울지경!
⠀
이렇게 장황히 설명한 엄청난 음식의 가격은 단돈 만원!
먹다 먹다 배불러서 욕하면서 나오는 경험을 하고 싶다면
장미상가 치마오로 가라! 수서에도 잇고 개포동에도 잇다
⠀
⚠️ 이거 완식하면 뚱캔 콭라 사준다 도전해보시라 !
⠀
⚠️ 장미상가 지하던전에는 위험한 함정이 많다!
그곳에서 보물을 찾다 개미지옥 수렁에 빠져 죽더라도
그건 당신 몫이다! 위대한 용자의 도전을 응원합니다!
⠀
⚠️ 모두가 좋아요를 누를때 혼자서 ""꺼져""를 누르신
임동무 센세께 이글을 바칩니다 @lim.dongmoo
⠀
#차마오 #장미상가맛집 #장미상가혼밥#장미상가덮밥 #잠살맛집 #송파맛집 #장미상가던전 #혼밥맛집 #덮밥 #돈부리 #일본음식 #라멘은아닙니다만 #요청에의해서 #알랴드립니다 #먹스타그램 #맛스타그램 #맛집스타그램"
,,jjuaeng2,7월 8일,2021-07-08T02:47:11.000Z,2021년 7월 8일,"#주애오일 #오일스프레이 #공구 ⛔️마감⛔️
이번 주애오일 마감 되었습니다💚
다음 오일은 #추석선물세트 로 찾아뵐께요😘
너무너무 감사드립니다💛

이번 주애오일공구 마지막 영상은 #돈까스덮밥
나남매 최애 메뉴중 하나예요😘

저는 요 피드 올리고 중요한 미팅이 있어서 지하철 타고
서울고고고 합니동😘

어제 저녁 오일 스프레이 구매 댓글들도 보고 ,,,,
그동안 거북이 처럼 혼자 사부작 사부작
누가 알아봐 주지 않는다고 생각했는데
…뭉클스 하고.. 눙물 났어요😭
감사합니다💛

더더더 착하고 바르게 살아볼께요☺️
오늘도 즐거운 하루 보내세요💟

🍱돈까스덮밥 간단레시피🍱
육수
물100ml 쯔유2T(진간장가능1T) 설탕1t (진간장일때1T)
-양파넣고 끓이다가 돈까스 넣어 주고, 한소큼 끓여요
-약불로 바꿔서 계란 풀어 놓으걸 위에 샤라락 덮어요!
-쪽파랑 깨 솔솔 뿌려 불을 끕니다

맛난 밥과 함께 먹으면 끄읏✌🏻

🎖주애오일 구매이벤트🎖
(오픈피드에 댓글 남겨 쥬세요!)
🏷주애오일 재구매 찐 인친님들 댓글 남겨 해주세요!
5분께 커피케익 쿠폰 보내드릴께요
예)김주*(주문자성함)1234(핸드폰뒷자리)
@친구아이디) 재구매완료!

🏷첫구매 인친님(또눈 재구매) 댓글달아 주신
5분께는 햄버거세트 보내드릴께요💛
예)김주*(주문자성함)1234(핸드폰뒷자리)
@친구아이디) 구매완료!
총 10분께 보내드릴께용 많은 참여 부탁 드려요💟

🏷구매방법:프로필링크 (@jjuaeng2)
🏷주문배송조회:
프로필링크”주애키친”주문조회클릭후확인

#주애키친 #주애에어프라이어레시피 #주애와플 #와플팬 #에스파뇰라오일스프레이 #점심 #집밥레시피 #반찬레시피 #레시피공유 #영상레시피 #아이반찬 #반찬 #덮밥 #돈부리 #돈까스나베 #돈까스 #koreafood"
송리단길 SongniDan-gil,https://www.instagram.com/explore/locations/2197339867170927/songnidan-gil/,yun1208i,2020년 11월 9일,2020-11-09T09:47:35.000Z,2020년 11월 9일,"#저녁 #송리단길맛집 #돈부리파스타
#봉골레파스타 #돈부리 #수비드스테이크
송리단길에 놀러갔다가 익선동에서 맛나게
먹었던 가게가 떡하니 있길래 방문
돈부리는 여전히 밥이랑 고기가 맛났고,
전반적인 분위기랑 메뉴구성이 맘에 들었다
#오늘하루도고생했어요👏 (마지막은 동영상)
.
.
#seoul #dinner #pasta #mukbang #donburi
#ソウルグルメ #ソウル #パスタ #どんぶり
#写真好きな人と繋がりたい"
형훈라멘,https://www.instagram.com/explore/locations/1992439097715294/,doctormatrange,2020년 5월 16일,2020-05-16T14:04:12.000Z,2020년 5월 16일,"[형훈라멘, 2019]
류니끄, 소나와 같은 건물에 있는 형훈라멘. 근데 라멘 먹으러 온 거 아니야. 나는 양, 곱창, 대창 중에서 몸에 제일 안 좋은 대창을 제일 좋아하는데, 여기 대창덮밥은 튀긴 파를 곁들여 먹으면 JMT이야. 한정 판매라고 하니 먹고 싶으면 일찍 가.

@hyunghoon_seoul #형훈라멘 #대창덮밥 #형훈 #cnp #대창 #덮밥 #돈부리 #호르몬 #호르몬동 #신사동맛집 #가로수길맛집 #ホルモン #ホルモン丼 #좋아요 #좋아요반사 #좋반 #좋반사 #좋아요그램 #첫줄 #첫줄반사 #첫줄좋반 #먹스타그램 #맛집그램 #foodstagram #likeforlikes #likeforfollow #l4l #like4likes #いいね #いいね返し"
경남 거창군 거창읍,https://www.instagram.com/explore/locations/271256669/,byukdam,1시간 전,2021-08-23T23:09:50.000Z,2021년 8월 24일,"덮밥맛집 포장맛집 벽담입니다🙇🏻‍♂️🙇🏻‍♂️

태풍은 일단 다 빠져나갔지만
비는 시원하게 오는 중이네요😊
천둥번개도 요란한 아침입니다😖
천둥소리에 놀라서 우리집 강아지 녀석이
방문을 팍팍 긁으며 문을 열어 달라기에
'이녀석 뭐가 무섭다고 그래!' 하면서
문을 열어줬더니 입에 공을 물고 왔네요😳😳 속았다😆😆

오늘도 정상영업합니다🤗🤗🤗

---------------
0559437932 🖖🏻🖖🏻
포장이나 방문 하시기 전에
전화로 메뉴와 도착시간
알려주시면 최대한 시간에 맞춰서
준비하도록 하겠습니다🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️
(홀의 상황에 따라 약간의
시간차이는 있을 수 있습니당😊)
------------------------------------------
#거창 #벽담 #일본가정식
#거창맛집 이고픈 #거창밥집
#월간벽담 #오늘도화이팅
#대구 #함양 #합천 #산청 #경남 #무주
#foodie #맛집 #먹스타그램
#점심 #lunch  #丼 #돈부리 #덮밥맛집"
,,haru.han.kki,11시간 전,2021-08-23T13:07:56.000Z,2021년 8월 23일,딱히 먹은게 없는 날에 올리는 예전에 해먹은 가츠동!
,,mygarlic,11시간 전,2021-08-23T13:02:20.000Z,2021년 8월 23일,"잘먹고 운동하기 #운동일지
장마도 아닌데 계속 아침마다 비가와서 조깅도 못하고해서 당분간은 웨이트 운동을 쪼개서 하루에 달랑 20분씩 하는 걸로 진행해 보기로 했다. 건강을 위해 꾸준히 몸을 움직이는 수준으로...

웜업) 5분씩
#FoamRoller #동적스트레칭 #ProneCobra #어깨모빌리티

2021.08.22 일요일 본운동 15분
#YRaise 노랑 10lb, 3×12rep
#OverHeadPress 2×8kg 20, 18, 20
#코어 5종×(25초 운동+ 5초 휴식)

2021.08.23 월요일 본운동 15분
#맨몸Deadlift 12, 12, 12, 12, 12
#맨몸Lunge L+R 16, 10, 14, 12, 16
... 2종×(40초 운동+20초 휴식)×5라운드=10분
#RollUp 15, 15, 15

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
#workout #fitness #홈트 #HomeTraining #GymLog #덤벨 #dumbbells #돈부리 #돈까스덮밥
#막국수 #리코타치즈샐러드 #감자튀김 #diet #nodiet .#foodie
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ"
,,eom_teacher,12시간 전,2021-08-23T12:58:56.000Z,2021년 8월 23일,"15년차 친구. 10개월만에 접선.
장정 6시간의 수다. 시간가는 줄 몰랐다ㅋㅋㅋㅋ
@ss__rlo 부천시민 뽀에버"
강남구 신사동,https://www.instagram.com/explore/locations/290713773/,hiyumiiii,14시간 전,2021-08-23T10:12:49.000Z,2021년 8월 23일,"#윰이의신사동살이 오늘의 점심 장어덮밥🥣

오늘은 직장동료1과 장어덮밥을 먹으러갔다.
카이센동이 유명한 이 곳은 점심시간에 오면 웨이팅이있다한다
코로나 때문인지 나는 곧바로 bar 자리로 착석가능했음ㅇㅇ

점심식사로 만칠처넌원은 이게뭔플렉스인가 싶지만
뭐... 내일 굶지뭐.....🥲

🚩카이센동 우니도 (신사역 6번출구랑 가까워용)"
,,_mmadecook,16시간 전,2021-08-23T08:50:52.000Z,2021년 8월 23일,"#돈까스덮밥
눅눅해지지 않도록 돈까스는 튀겨서 따로 올려주기
아래에는 간장에 졸인 야채와 달달짭짤한 간장소스가 가득 🔥"
,,ppeppe_zzong,16시간 전,2021-08-23T08:45:23.000Z,2021년 8월 23일,"얼큰규규동~~ 아 발음하기 힘들어~
근데 맛있엉~♡"
,,tastycookbook,19시간 전,2021-08-23T05:56:48.000Z,2021년 8월 23일,"#히데코의사계절술안주사케편 #맛있는책방
새우와 팽이버섯 버터볶음 돈부리는 아주 간단한 일본식 덮밥입니다!! 담백한 재료에 간장을 넣고 만들어 감칠맛이 강한 쥰마이와 같이 먹으면 젓가락을 멈출 수 없을 거예요!! 히데코 선생님의 팁은 재료를 센 불에서 빠르게 볶아야 물기가 생기지 않는다고 해요!! 곡물의 감칠맛과 과일 향이 가볍게 맴도는 #송죽매쥰마이750 사케와 먹어 보세요!!

🍶새우와 팽이버섯 버터볶음 돈부리는 히데코의 사계절 술안주 사케편 #32 페이지에 있어요:)"
만고쿠 영통점,https://www.instagram.com/explore/locations/337894924216978/,seul.ryang,21시간 전,2021-08-23T03:33:39.000Z,2021년 8월 23일,"ㅡ
• 만고쿠 영통점

- 챠슈동 チャーシュー丼 9.5

네.. 오늘도 또 가고 말았습니다!

한의원 가서 물리치료 받고 침 맞고
스스스 들어가 버린 만고쿠!

윤기 자르르 챠슈가 기가 맥힙니다 ㅠㅠ
휴우....

오랜만에 흥분해서 흔들린 사진!
ㅋㅋㅋㅋㅋㅋ

어제 단무지에서 레몬향이 난다고 했는데
정체는 유자였습니다!

오늘도 대만족!!

냠냠 ♡_♡

#수원 #영통 #맛집
#수원맛집 #영통맛집
#강추 #강력추천

#만코쿠 #만고쿠 #満石 #영통점
#돈부리 #どんぶり飯 #どんぶり #丼物
#챠슈동 #챠슈덮밥 #チャーシュー丼

#맛스타그램 #먹스타그램
#food #foodie #foodstagram
#먹슬량

#메뉴깨기"
카쿠레가_かくれが,https://www.instagram.com/explore/locations/544583015989563/_/,kakurega_donburi,1일 전,2021-08-22T22:58:53.000Z,2021년 8월 23일,"여러분의 월요병 극복을 위한
저희의 준비자세 ❤️
배달과 포장 단단히 준비합니당 ❤️
오늘도 정성껏 준비할게요 😍

#카쿠레가 #무실동 #무실동맛집 #원주 #원주맛집 #강원도 #강원도맛집 #맛집 #돈부리 #돈부리맛집 #사케동 #사케동맛집 #일식 #일식맛집 #일본가정식 #텐동 #텐동맛집 #자루소바 #자루소바맛집 #소바 #소바맛집"
,,cozy_gnal,1일 전,2021-08-22T22:45:15.000Z,2021년 8월 23일,"🙋‍♀️

아침은 #소고기채소스프 + 바게트빵
점심은 #돈부리 입니다.

이제 개학을 했지만 온라인 수업이라
삼시세끼 준비하는 일상은 끝이 안나네요😅

어제
집콕해야 된다고 시작한 넷플릭스와 작별했습니다👋
헤이해진 일상과 작별하려고요~
코로나 종식이란 시작점을 기다리며
느슨하게 지냈는데 안되겠어요 ㅎㅎㅎ

긴 여행을 마치고 집으로 돌아온 기분이네요🙂
알찬 하반기 보내세요❤

#토마토채소스프
#아들도시락🍱
#동파육
#일요일은아빠가요리사
#동파육잘먹었어요14년만에요리"
"Daegu, South Korea",https://www.instagram.com/explore/locations/102159636493202/daegu-south-korea/,hwajeon_donburi,1일 전,2021-08-22T11:12:14.000Z,2021년 8월 22일,"두마리토끼 잡는 실속형 매장
미슐랭 덮밥 화전돈부리 언제든지 문의 주세요
코로나시대 핫한 창업소식
상생하는 화전돈부리 본사가
힘든 가맹점주님들께 부담은 덜어드리고
힘이되어 드립니다

ㆍ
#돈부리#화전돈부리#대구맛집#볶음김치규동#덮밥#덮밥맛집#배달의민족#배민#점심스타그램#좋반#먹스타그램#존맛#샵인샵#창업#수성구맛집#상인동맛집#미슐랭#돈부리맛집#배달
#코로나창업#팔로우#샵인샵창업#밥집#창업아이템"
,,ssun_hh,1일 전,2021-08-22T10:29:05.000Z,2021년 8월 22일,"-
간만에 출근해서
반가운 친구랑 티타임 갖고
-
인수인계 열심히 하고,
함께 맛있는 점심 냠냠😋
.
.
.
2021.8.9♥"
,,bee_ruya,1일 전,2021-08-22T10:10:11.000Z,2021년 8월 22일,"💕
비루야 금일 영업 마감하겠습니다!
오늘도 찾아주셔서 감사합니다!

내일은 비루야 정기휴무 입니다!❤️

#비루동생노리"
,,hhye___p,1일 전,2021-08-22T09:52:27.000Z,2021년 8월 22일,"#210707
.
근무 중 점심시간에 만나
돈부리+메밀소바
.
#일상 #데이트 #커플 #파주 #돈부리 #메밀소바 #먹방 #모리모리"
,,conbrio123,1일 전,2021-08-22T08:57:47.000Z,2021년 8월 22일,".
오야코돈부리(3인기준)

🔍재료
닭다리정육 500g, 양파 1/2개, 공기밥 3개

* 닭손질
쌀뜨물 1리터, 청주 2T, 소금 1/2t,후추 약간

* 데리야끼소스
다시마물 12T, 다시마간장 4T, 흑설탕 3T, 올리고당 1T, 청귤 1/2개

* 계란스크램블
특란 4개, 다시마물 7T, 소금 약간

🔍재료손질
1. 닭 : 흐르는 물에 씻어 쌀뜨물에 1시간정도
담갔다가 꺼내 물기를 제거하고 청주, 소금,후추 간해서 반나절 냉장보관하여 숙성시킨다.
2. 채소 : 양파는 잘게 채썰고 청귤은 굵게 채썬다.
3. 계란스크램블 : 재료를 넣고 골고루 섞는다.

🔍레시피
1. 밑간된 닭은 껍질방향이 위를 향하도록 에어프라이어에 담고 종이호일없이 180도 15분로 굽고 뒤집어 5분간 추가 조리한다.
2. 팬에 데리야끼소스(청귤제외)를 넣어 끓이고 소스가 끓으면 양파과 청귤을 추가하여 양파가 익을때까지 끓인다.
3. 소스에 먹기 좋은 크기로 자른 닭을 넣고 소스가 절반이 되도록 끓여서 꺼내둔다.
4. 소스를 끓인 팬을 닦지않은 상태에서 계란물을 부어 저어가며 익히되 계란이 절반정도 익었을때 불을 끈다.
5. 따뜻한 밥에 계란스크램블을 올리고 그 위에 닭과 소스를 부어 따뜻하게 먹는다.

🔍맛있게먹어볼까?
1. 기존 오야코돈부리 레시피를 변형하여 맛은 유지하고 계란의 보들보들하고 폭신한 식감을 살렸습니다.
2. 스크램블과정이 다소 번거롭다면 만들어진 소스에(3번) 계란물을 추가해 조리하셔도 괜찮습니다.

#오야코돈부리 #오야코돈 #돈부리 #덮밥
#닭고기 #계란 #닭고기계란덮밥 #집밥 #마켓컬리 #온더테이블 #ID_conbrio123 #kf3651등급닭다리살 #레시피 #채소 #네컷요리 #채소소믈리에
#vegetable #food #chicken #cooking #homefood #instafood #recipe #vegetablesommelier #親子丼
#どんぶり #おうちごはん #野菜
#野菜ソムリエ"
충남 논산시,https://www.instagram.com/explore/locations/183210618494909/,yoap__official,1일 전,2021-08-22T08:53:12.000Z,2021년 8월 22일,"#YOAP
브레이크타임에 열심히 준비하여 디너 오픈하였습니다;)

요앞에서 만나요🙌🏻

#요앞"
홍대돈부리 신촌점,https://www.instagram.com/explore/locations/272438060/,g2dlife,1일 전,2021-08-22T08:28:58.000Z,2021년 8월 22일,"양이 생각보다 많네? 완전 배불렀잖어ㅎ😄
#휴일#신촌#홍대돈부리#식사#점심#덮밥#돈부리#카츠동#네기카츠동#休日#食事#昼ご飯#丼#カツ丼#ネギカツ丼"
,,donburi_yoon,1일 전,2021-08-22T08:03:59.000Z,2021년 8월 22일,🐟 #돈부리 #덮밥 #연어 #donburi #요리 #どんぶり #丼 #たべものぐらむ #りょうりすたぐらむ
